,Model,MAE,MSE,RMSE,R2 Score,RMSLE,Adjusted R2 Score
0,LinearRegression,4623.409,49062056.15,7004.431,0.904672,8.854,0.904662
1,DecisionTreeRegressor,2225.401,16044205.369,4005.522,0.968826,8.295,0.968823
2,RandomForestRegressor,1320.779,7319110.038,2705.385,0.985779,7.903,0.985777
3,KNeighborsRegressor,12274.681,288415712.639,16982.806,0.439607,9.74,0.439544
4,ExtraTreesRegressor,1511.972,8713209.693,2951.815,0.98307,7.99,0.983068
5,XGBRegressor,1267.932,6109175.261,2471.675,0.98813,7.813,0.988129
6,BaggingRegressor,3951.472,30990730.013,5566.932,0.939785,8.625,0.939778
